timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733171286,95,S01_Browse_And_Checkout_T04_AddTableToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,778,1052,5,5,null,0,4,0
1788733171286,95,AddTableToCart,200,OK,S01_Browse_And_Checkout 1-4,text,true,,778,1052,5,5,http://localhost/wp-admin/admin-ajax.php,95,0,0
1788733171621,213,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,53066,598,5,5,null,0,8,0
1788733171625,213,OpenApplication,200,OK,S01_Browse_And_Checkout 1-1,text,true,,53066,598,5,5,http://localhost/,164,0,0
1788733171762,164,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,46976,786,5,5,null,0,3,0
1788733171763,164,NavigateToChairs,200,OK,S01_Browse_And_Checkout 1-2,text,true,,46976,786,5,5,http://localhost/chairs,164,0,0
1788733173843,163,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,50851,763,5,5,null,0,2,0
1788733173844,163,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-1,text,true,,50851,763,5,5,http://localhost/tables,161,0,0
1788733174914,205,S01_Browse_And_Checkout_T05_NavigateToChairs,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,46976,786,5,5,null,0,3,0
1788733174915,205,NavigateToChairs,200,OK,S01_Browse_And_Checkout 1-4,text,true,,46976,786,5,5,http://localhost/chairs,204,0,0
1788733174941,277,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,53066,598,5,5,null,0,6,0
1788733174944,277,OpenApplication,200,OK,S01_Browse_And_Checkout 1-5,text,true,,53066,598,5,5,http://localhost/,226,0,0
1788733175059,202,S01_Browse_And_Checkout_T01_OpenApplication,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,53066,598,5,5,null,0,7,0
